# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxCacheSizeInBytes,1771181723897000000,1771181730740000000,202375168
FilePageCache.disposedBuffers,1771181723897000000,1771181730740000000,196
FilePageCacheLockFree.housekeeperTurnsDone,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1771181723897000000,1771181730740000000,0
StorageLockContext.competingThreads.max,1771181723897000000,1771181730740000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1771181723897000000,1771181730740000000,0
FilePageCache.capacityInBytes,1771181723897000000,1771181730740000000,503316478
FilePageCache.totalPageLoadsUs,1771181723897000000,1771181730740000000,99907
FilePageCache.pageHits,1771181723897000000,1771181730740000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771181723897000000,1771181730740000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1771181723897000000,1771181730740000000,0
MappedFileStorage.storages,1771181723897000000,1771181730740000000,0
FilePageCache.pageLoads,1771181723897000000,1771181730740000000,196
FilePageCache.uncachedFileAccess,1771181723897000000,1771181730740000000,110
FilePageCacheLockFree.totalPagesReadMs,1771181723897000000,1771181730740000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1771181723897000000,1771181730740000000,9325
DirectByteBufferAllocator.misses,1771181723897000000,1771181730740000000,193
FilePageCache.pageFastCacheHits,1771181723897000000,1771181730740000000,3880
FilePageCache.pageLoadsAboveSizeThreshold,1771181723897000000,1771181730740000000,0
MappedFileStorage.totalPagesMapped,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesWriteMs,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesRequested,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesWritten,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1771181723897000000,1771181730740000000,0
DirectByteBufferAllocator.hits,1771181723897000000,1771181730740000000,3
StorageLockContext.competingThreads.avg,1771181723897000000,1771181730740000000,0.0
MappedFileStorage.totalBytesMapped,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesHandedOver,1771181723897000000,1771181730740000000,0
FilePageCacheLockFree.totalPagesAllocated,1771181723897000000,1771181730740000000,0
FilePageCache.totalPageDisposalsUs,1771181723897000000,1771181730740000000,1115
FilePageCache.maxRegisteredFiles,1771181723897000000,1771181730740000000,537
FilePageCacheLockFree.totalPagesReclaimed,1771181723897000000,1771181730740000000,0
